"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"137209","","Koivunmäki P","60.898869811435","24.2954839964734","2","http://109","0","","109","","","0","",""
"137210","","Lepomäentie","60.8918709227276","24.3048400748469","2","http://109","0","","109","","","0","",""
"137211","","Kirkkoherranvirasto/Lepomäentie","60.8911257970044","24.3068756392381","2","http://109","0","","109","","","0","",""
"137213","","Oinaala E","60.8738730354435","24.3376904426089","3","http://109","0","","109","","","0","",""
"137214","","Ylimmäisentie E","60.8480117664802","24.3283190502016","3","http://109","0","","109","","","0","",""
"137217","","Pyntiöntie E","60.8298072787882","24.3388432072399","3","http://109","0","","109","","","0","",""
"137219","","Kivikalliontie E","60.8245208254619","24.3323183187297","3","http://109","0","","109","","","0","",""
"137221","","Ahoinen E","60.8220628866867","24.3302383623656","3","http://109","0","","109","","","0","",""
"137223","","Äijämäki E","60.8187906824416","24.3262001546911","3","http://109","0","","109","","","0","",""
"137225","","Topenontie 1138 E","60.8154829508227","24.3265168890216","3","http://109","0","","109","","","0","",""
"137227","","Vattianmäki E","60.8113182087521","24.3290224102624","3","http://109","0","","109","","","0","",""
"137245","","Tallimäki P","60.8740870542753","24.339209011904","3","http://109","0","","109","","","0","",""
"137246","","Vehmaistentie th L","60.8650719039468","24.3722920746058","3","http://109","0","","109","","","0","",""
"137253","","Viralantie I","60.8722743845681","24.4241498410175","3","http://165","0","","165","","","0","",""
"137254","","Helsingintie","60.879996090924","24.5732655039884","3","http://165","0","","165","","","0","",""
"137255","","Kinnasmäenraitti","60.8769178271997","24.5647917895112","3","http://165","0","","165","","","0","",""
"137257","","Hyvikkäläntie E","60.8753008399547","24.5640655072468","3","http://165","0","","165","","","0","",""
"137258","","Hyvikkäläntie P","60.8743824066785","24.5636530905079","3","http://165","0","","165","","","0","",""
"137260","","Kirkkoportintie th I","60.7844928544892","24.5345899048178","3","http://165","0","","165","","","0","",""
"137261","","Vehmaistentie th L","60.783756015486","24.5402433398892","3","http://165","0","","165","","","0","",""
"137263","","Mattila P","60.7804695232097","24.5439980382554","3","http://165","0","","165","","","0","",""
"137281","","Teollisuuskylä L","60.8172947027843","24.6365870996911","3","http://165","0","","165","","","0","",""
"137282","","Koivusillantie","60.81661605565","24.6337199001421","3","http://165","0","","165","","","0","",""
"137283","","Patala L","60.815921457622","24.6307072894297","3","http://165","0","","165","","","0","",""
"137284","","Tervajoentie I","60.8124071992884","24.621682222105065","3","http://165","0","","165","","","0","",""
"137285","","Tervajoentie L","60.8120261230346","24.6199758062615","3","http://165","0","","165","","","0","",""
"137286","","Martintie I","60.8112205294718","24.6168759765209","3","http://165","0","","165","","","0","",""
"137287","","Martintie L","60.8107588204678","24.6154492633941","3","http://165","0","","165","","","0","",""
"137288","","Puuhamaa I","60.8067423323821","24.6068008710168","3","http://165","0","","165","","","0","",""
"137289","","Puuhamaa L","60.8067072255934","24.606676916277","3","http://165","0","","165","","","0","",""
"137290","","Tietyntie L","60.8053515330355","24.6017974718528","3","http://165","0","","165","","","0","",""
"137291","","Tietyntie I","60.8051383935911","24.6011836997749","3","http://165","0","","165","","","0","",""
"137292","","Korpilontie P","60.8004623443352","24.5948110284936","3","http://165","0","","165","","","0","",""
"137293","","Korpilontie E","60.7998956513891","24.5940095264351","3","http://165","0","","165","","","0","",""
